county,precinct,office,district,candidate,party,votes,election_day,absentee
Clinton,0001 ALLISON TOWNSHIP,State House,76.0,MIKE HANNA,DEM,43,39.0,2.0
Clinton,0001 ALLISON TOWNSHIP,State House,76.0,STEPHANIE BOROWICZ,REP,51,51.0,0.0
Clinton,0001 ALLISON TOWNSHIP,State House,76.0,WRITE-INS,,0,0.0,0.0
Clinton,0002 AVIS BOROUGH,Registered Voters,,,,798,,
Clinton,0002 AVIS BOROUGH,Ballots Cast,,,,490,469.0,21.0
Clinton,0002 AVIS BOROUGH,STRAIGHT PARTY,,DEMOCRATIC,DEM,82,74.0,8.0
Clinton,0002 AVIS BOROUGH,STRAIGHT PARTY,,REPUBLICAN,REP,188,180.0,8.0
Clinton,0002 AVIS BOROUGH,STRAIGHT PARTY,,GREEN PARTY,GRN,2,1.0,1.0
Clinton,0002 AVIS BOROUGH,STRAIGHT PARTY,,LIBERTARIAN,LIB,1,1.0,0.0
Clinton,0002 AVIS BOROUGH,U.S. Senate,,"BOB CASEY, JR",DEM,192,181.0,11.0
Clinton,0002 AVIS BOROUGH,U.S. Senate,,LOU BARLETTA,REP,291,279.0,10.0
Clinton,0002 AVIS BOROUGH,U.S. Senate,,NEAL GALE,GRN,1,1.0,0.0
Clinton,0002 AVIS BOROUGH,U.S. Senate,,"DALE R KERNS, JR",LIB,3,3.0,0.0
Clinton,0002 AVIS BOROUGH,U.S. Senate,,WRITE-INS,,0,0.0,0.0
Clinton,0002 AVIS BOROUGH,Governor,,TOM WOLF,DEM,195,186.0,9.0
Clinton,0002 AVIS BOROUGH,Governor,,SCOTT R WAGNER,REP,285,272.0,11.0
Clinton,0002 AVIS BOROUGH,Governor,,PAUL GLOVER,GRN,2,2.0,0.0
Clinton,0002 AVIS BOROUGH,Governor,,KEN V KRAWCHUK,LIB,4,3.0,1.0
Clinton,0002 AVIS BOROUGH,Governor,,WRITE-INS,,1,1.0,0.0
Clinton,0002 AVIS BOROUGH,U.S. House,12.0,MARC FRIEDENBERG,DEM,166,157.0,9.0
Clinton,0002 AVIS BOROUGH,U.S. House,12.0,TOM MARINO,REP,315,301.0,12.0
Clinton,0002 AVIS BOROUGH,U.S. House,12.0,WRITE-INS,,0,0.0,0.0
Clinton,0002 AVIS BOROUGH,State House,76.0,MIKE HANNA,DEM,202,192.0,10.0
Clinton,0002 AVIS BOROUGH,State House,76.0,STEPHANIE BOROWICZ,REP,281,269.0,10.0
Clinton,0002 AVIS BOROUGH,State House,76.0,WRITE-INS,,0,0.0,0.0
Clinton,0003 BALD EAGLE TOWNSHIP,Registered Voters,,,,1110,,
Clinton,0003 BALD EAGLE TOWNSHIP,Ballots Cast,,,,709,684.0,25.0
Clinton,0003 BALD EAGLE TOWNSHIP,STRAIGHT PARTY,,DEMOCRATIC,DEM,126,120.0,6.0
Clinton,0003 BALD EAGLE TOWNSHIP,STRAIGHT PARTY,,REPUBLICAN,REP,233,229.0,4.0
Clinton,0003 BALD EAGLE TOWNSHIP,STRAIGHT PARTY,,GREEN PARTY,GRN,2,2.0,0.0
Clinton,0003 BALD EAGLE TOWNSHIP,STRAIGHT PARTY,,LIBERTARIAN,LIB,4,4.0,0.0
Clinton,0003 BALD EAGLE TOWNSHIP,U.S. Senate,,"BOB CASEY, JR",DEM,276,266.0,10.0
Clinton,0003 BALD EAGLE TOWNSHIP,U.S. Senate,,LOU BARLETTA,REP,404,390.0,14.0
Clinton,0003 BALD EAGLE TOWNSHIP,U.S. Senate,,NEAL GALE,GRN,4,4.0,0.0
Clinton,0003 BALD EAGLE TOWNSHIP,U.S. Senate,,"DALE R KERNS, JR",LIB,15,15.0,0.0
Clinton,0003 BALD EAGLE TOWNSHIP,U.S. Senate,,WRITE-INS,,0,0.0,0.0
Clinton,0003 BALD EAGLE TOWNSHIP,Governor,,TOM WOLF,DEM,296,282.0,14.0
Clinton,0003 BALD EAGLE TOWNSHIP,Governor,,SCOTT R WAGNER,REP,386,375.0,11.0
Clinton,0003 BALD EAGLE TOWNSHIP,Governor,,PAUL GLOVER,GRN,5,5.0,0.0
Clinton,0003 BALD EAGLE TOWNSHIP,Governor,,KEN V KRAWCHUK,LIB,12,12.0,0.0
Clinton,0003 BALD EAGLE TOWNSHIP,Governor,,WRITE-INS,,2,2.0,0.0
Clinton,0003 BALD EAGLE TOWNSHIP,U.S. House,12.0,MARC FRIEDENBERG,DEM,247,238.0,9.0
Clinton,0003 BALD EAGLE TOWNSHIP,U.S. House,12.0,TOM MARINO,REP,448,433.0,15.0
Clinton,0003 BALD EAGLE TOWNSHIP,U.S. House,12.0,WRITE-INS,,1,1.0,0.0
Clinton,0003 BALD EAGLE TOWNSHIP,State House,76.0,MIKE HANNA,DEM,351,337.0,14.0
Clinton,0003 BALD EAGLE TOWNSHIP,State House,76.0,STEPHANIE BOROWICZ,REP,351,340.0,11.0
Clinton,0003 BALD EAGLE TOWNSHIP,State House,76.0,WRITE-INS,,1,1.0,0.0
Clinton,0004 BEECH CREEK BOROUGH,Registered Voters,,,,416,,
Clinton,0004 BEECH CREEK BOROUGH,Ballots Cast,,,,268,265.0,3.0
Clinton,0004 BEECH CREEK BOROUGH,STRAIGHT PARTY,,DEMOCRATIC,DEM,46,45.0,1.0
Clinton,0004 BEECH CREEK BOROUGH,STRAIGHT PARTY,,REPUBLICAN,REP,88,86.0,2.0
Clinton,0004 BEECH CREEK BOROUGH,STRAIGHT PARTY,,GREEN PARTY,GRN,0,0.0,0.0
Clinton,0004 BEECH CREEK BOROUGH,STRAIGHT PARTY,,LIBERTARIAN,LIB,0,0.0,0.0
Clinton,0004 BEECH CREEK BOROUGH,U.S. Senate,,"BOB CASEY, JR",DEM,106,105.0,1.0
Clinton,0004 BEECH CREEK BOROUGH,U.S. Senate,,LOU BARLETTA,REP,156,151.0,2.0
Clinton,0004 BEECH CREEK BOROUGH,U.S. Senate,,NEAL GALE,GRN,1,1.0,0.0
Clinton,0004 BEECH CREEK BOROUGH,U.S. Senate,,"DALE R KERNS, JR",LIB,4,4.0,0.0
Clinton,0004 BEECH CREEK BOROUGH,U.S. Senate,,WRITE-INS,,0,0.0,
Clinton,0004 BEECH CREEK BOROUGH,Governor,,TOM WOLF,DEM,109,107.0,1.0
Clinton,0004 BEECH CREEK BOROUGH,Governor,,SCOTT R WAGNER,REP,153,149.0,2.0
Clinton,0004 BEECH CREEK BOROUGH,Governor,,PAUL GLOVER,GRN,1,1.0,0.0
Clinton,0004 BEECH CREEK BOROUGH,Governor,,KEN V KRAWCHUK,LIB,7,7.0,0.0
Clinton,0004 BEECH CREEK BOROUGH,Governor,,WRITE-INS,,0,0.0,0.0
Clinton,0004 BEECH CREEK BOROUGH,U.S. House,12.0,MARC FRIEDENBERG,DEM,88,87.0,1.0
Clinton,0004 BEECH CREEK BOROUGH,U.S. House,12.0,TOM MARINO,REP,179,174.0,2.0
Clinton,0004 BEECH CREEK BOROUGH,U.S. House,12.0,WRITE-INS,,0,0.0,0.0
Clinton,0004 BEECH CREEK BOROUGH,State House,76.0,MIKE HANNA,DEM,127,124.0,1.0
Clinton,0004 BEECH CREEK BOROUGH,State House,76.0,STEPHANIE BOROWICZ,REP,143,140.0,2.0
Clinton,0004 BEECH CREEK BOROUGH,State House,76.0,WRITE-INS,,0,0.0,0.0
Clinton,0005 BEECH CREEK TOWNSHIP,Registered Voters,,,,557,,
Clinton,0005 BEECH CREEK TOWNSHIP,Ballots Cast,,,,360,353.0,7.0
Clinton,0005 BEECH CREEK TOWNSHIP,STRAIGHT PARTY,,DEMOCRATIC,DEM,58,56.0,2.0
Clinton,0005 BEECH CREEK TOWNSHIP,STRAIGHT PARTY,,REPUBLICAN,REP,118,117.0,1.0
Clinton,0005 BEECH CREEK TOWNSHIP,STRAIGHT PARTY,,GREEN PARTY,GRN,0,0.0,0.0
Clinton,0005 BEECH CREEK TOWNSHIP,STRAIGHT PARTY,,LIBERTARIAN,LIB,2,2.0,0.0
Clinton,0005 BEECH CREEK TOWNSHIP,U.S. Senate,,"BOB CASEY, JR",DEM,148,144.0,4.0
Clinton,0005 BEECH CREEK TOWNSHIP,U.S. Senate,,LOU BARLETTA,REP,198,196.0,2.0
Clinton,0005 BEECH CREEK TOWNSHIP,U.S. Senate,,NEAL GALE,GRN,1,1.0,0.0
Clinton,0005 BEECH CREEK TOWNSHIP,U.S. Senate,,"DALE R KERNS, JR",LIB,3,3.0,0.0
Clinton,0005 BEECH CREEK TOWNSHIP,U.S. Senate,,WRITE-INS,,0,0.0,0.0
Clinton,0005 BEECH CREEK TOWNSHIP,Governor,,TOM WOLF,DEM,148,144.0,4.0
Clinton,0005 BEECH CREEK TOWNSHIP,Governor,,SCOTT R WAGNER,REP,205,203.0,2.0
Clinton,0005 BEECH CREEK TOWNSHIP,Governor,,PAUL GLOVER,GRN,0,0.0,0.0
Clinton,0005 BEECH CREEK TOWNSHIP,Governor,,KEN V KRAWCHUK,LIB,2,2.0,0.0
Clinton,0005 BEECH CREEK TOWNSHIP,Governor,,WRITE-INS,,0,0.0,0.0
Clinton,0005 BEECH CREEK TOWNSHIP,U.S. House,12.0,MARC FRIEDENBERG,DEM,120,117.0,3.0
Clinton,0005 BEECH CREEK TOWNSHIP,U.S. House,12.0,TOM MARINO,REP,235,232.0,3.0
Clinton,0005 BEECH CREEK TOWNSHIP,U.S. House,12.0,WRITE-INS,,0,0.0,0.0
Clinton,0005 BEECH CREEK TOWNSHIP,State House,76.0,MIKE HANNA,DEM,158,154.0,4.0
Clinton,0005 BEECH CREEK TOWNSHIP,State House,76.0,STEPHANIE BOROWICZ,REP,199,196.0,3.0
Clinton,0005 BEECH CREEK TOWNSHIP,State House,76.0,WRITE-INS,,0,0.0,0.0
Clinton,0006 CASTANEA TOWNSHIP,Registered Voters,,,,597,,
Clinton,0006 CASTANEA TOWNSHIP,Ballots Cast,,,,391,382.0,9.0
Clinton,0006 CASTANEA TOWNSHIP,STRAIGHT PARTY,,DEMOCRATIC,DEM,88,86.0,2.0
Clinton,0006 CASTANEA TOWNSHIP,STRAIGHT PARTY,,REPUBLICAN,REP,104,103.0,1.0
Clinton,0006 CASTANEA TOWNSHIP,STRAIGHT PARTY,,GREEN PARTY,GRN,0,0.0,0.0
Clinton,0006 CASTANEA TOWNSHIP,STRAIGHT PARTY,,LIBERTARIAN,LIB,1,1.0,0.0
Clinton,0006 CASTANEA TOWNSHIP,U.S. Senate,,"BOB CASEY, JR",DEM,184,177.0,7.0
Clinton,0006 CASTANEA TOWNSHIP,U.S. Senate,,LOU BARLETTA,REP,193,191.0,2.0
Clinton,0006 CASTANEA TOWNSHIP,U.S. Senate,,NEAL GALE,GRN,5,5.0,0.0
Clinton,0006 CASTANEA TOWNSHIP,U.S. Senate,,"DALE R KERNS, JR",LIB,5,5.0,0.0
Clinton,0006 CASTANEA TOWNSHIP,U.S. Senate,,WRITE-INS,,0,0.0,0.0
Clinton,0006 CASTANEA TOWNSHIP,Governor,,TOM WOLF,DEM,198,191.0,7.0
Clinton,0006 CASTANEA TOWNSHIP,Governor,,SCOTT R WAGNER,REP,181,179.0,2.0
Clinton,0006 CASTANEA TOWNSHIP,Governor,,PAUL GLOVER,GRN,4,4.0,0.0
Clinton,0006 CASTANEA TOWNSHIP,Governor,,KEN V KRAWCHUK,LIB,4,4.0,0.0
Clinton,0006 CASTANEA TOWNSHIP,Governor,,WRITE-INS,,0,0.0,0.0
Clinton,0006 CASTANEA TOWNSHIP,U.S. House,12.0,MARC FRIEDENBERG,DEM,167,161.0,6.0
Clinton,0006 CASTANEA TOWNSHIP,U.S. House,12.0,TOM MARINO,REP,218,216.0,2.0
Clinton,0006 CASTANEA TOWNSHIP,U.S. House,12.0,WRITE-INS,,0,0.0,0.0
Clinton,0006 CASTANEA TOWNSHIP,State House,76.0,MIKE HANNA,DEM,214,206.0,8.0
Clinton,0006 CASTANEA TOWNSHIP,State House,76.0,STEPHANIE BOROWICZ,REP,173,172.0,1.0
Clinton,0006 CASTANEA TOWNSHIP,State House,76.0,WRITE-INS,,1,1.0,0.0
Clinton,0007 CHAPMAN TOWNSHIP,Registered Voters,,,,566,,
Clinton,0007 CHAPMAN TOWNSHIP,Ballots Cast,,,,353,346.0,7.0
Clinton,0007 CHAPMAN TOWNSHIP,STRAIGHT PARTY,,DEMOCRATIC,DEM,69,69.0,0.0
Clinton,0007 CHAPMAN TOWNSHIP,STRAIGHT PARTY,,REPUBLICAN,REP,107,104.0,3.0
Clinton,0007 CHAPMAN TOWNSHIP,STRAIGHT PARTY,,GREEN PARTY,GRN,0,0.0,0.0
Clinton,0007 CHAPMAN TOWNSHIP,STRAIGHT PARTY,,LIBERTARIAN,LIB,0,0.0,0.0
Clinton,0007 CHAPMAN TOWNSHIP,U.S. Senate,,"BOB CASEY, JR",DEM,162,160.0,2.0
Clinton,0007 CHAPMAN TOWNSHIP,U.S. Senate,,LOU BARLETTA,REP,177,172.0,5.0
Clinton,0007 CHAPMAN TOWNSHIP,U.S. Senate,,NEAL GALE,GRN,2,2.0,0.0
Clinton,0007 CHAPMAN TOWNSHIP,U.S. Senate,,"DALE R KERNS, JR",LIB,2,2.0,0.0
Clinton,0007 CHAPMAN TOWNSHIP,U.S. Senate,,WRITE-INS,,0,0.0,0.0
Clinton,0007 CHAPMAN TOWNSHIP,Governor,,TOM WOLF,DEM,161,159.0,2.0
Clinton,0007 CHAPMAN TOWNSHIP,Governor,,SCOTT R WAGNER,REP,183,178.0,5.0
Clinton,0007 CHAPMAN TOWNSHIP,Governor,,WRITE-INS,,0,0.0,0.0
Clinton,0007 CHAPMAN TOWNSHIP,Governor,,PAUL GLOVER,GRN,4,4.0,0.0
Clinton,0007 CHAPMAN TOWNSHIP,Governor,,KEN V KRAWCHUK,LIB,1,1.0,0.0
Clinton,0007 CHAPMAN TOWNSHIP,U.S. House,12.0,MARC FRIEDENBERG,DEM,133,131.0,2.0
Clinton,0007 CHAPMAN TOWNSHIP,U.S. House,12.0,TOM MARINO,REP,208,203.0,5.0
Clinton,0007 CHAPMAN TOWNSHIP,U.S. House,12.0,WRITE-INS,,0,0.0,0.0
Clinton,0007 CHAPMAN TOWNSHIP,State House,76.0,MIKE HANNA,DEM,186,184.0,2.0
Clinton,0007 CHAPMAN TOWNSHIP,State House,76.0,STEPHANIE BOROWICZ,REP,165,160.0,5.0
Clinton,0007 CHAPMAN TOWNSHIP,State House,76.0,WRITE-INS,,0,0.0,0.0
Clinton,0008 COLEBROOK TOWNSHIP,Registered Voters,,,,126,,
Clinton,0008 COLEBROOK TOWNSHIP,Ballots Cast,,,,78,72.0,6.0
Clinton,0008 COLEBROOK TOWNSHIP,STRAIGHT PARTY,,DEMOCRATIC,DEM,23,19.0,4.0
Clinton,0008 COLEBROOK TOWNSHIP,STRAIGHT PARTY,,REPUBLICAN,REP,25,25.0,0.0
Clinton,0008 COLEBROOK TOWNSHIP,STRAIGHT PARTY,,GREEN PARTY,GRN,0,0.0,0.0
Clinton,0008 COLEBROOK TOWNSHIP,STRAIGHT PARTY,,LIBERTARIAN,LIB,0,0.0,0.0
Clinton,0008 COLEBROOK TOWNSHIP,U.S. Senate,,"BOB CASEY, JR",DEM,41,36.0,5.0
Clinton,0008 COLEBROOK TOWNSHIP,U.S. Senate,,LOU BARLETTA,REP,32,31.0,1.0
Clinton,0008 COLEBROOK TOWNSHIP,U.S. Senate,,NEAL GALE,GRN,0,0.0,0.0
Clinton,0008 COLEBROOK TOWNSHIP,U.S. Senate,,"DALE R KERNS, JR",LIB,1,1.0,0.0
Clinton,0008 COLEBROOK TOWNSHIP,U.S. Senate,,WRITE-INS,,1,1.0,0.0
Clinton,0008 COLEBROOK TOWNSHIP,Governor,,TOM WOLF,DEM,39,34.0,5.0
Clinton,0008 COLEBROOK TOWNSHIP,Governor,,SCOTT R WAGNER,REP,37,36.0,1.0
Clinton,0008 COLEBROOK TOWNSHIP,Governor,,PAUL GLOVER,GRN,0,0.0,0.0
Clinton,0008 COLEBROOK TOWNSHIP,Governor,,KEN V KRAWCHUK,LIB,0,0.0,0.0
Clinton,0008 COLEBROOK TOWNSHIP,Governor,,WRITE-INS,,0,0.0,0.0
Clinton,0008 COLEBROOK TOWNSHIP,U.S. House,12.0,MARC FRIEDENBERG,DEM,38,34.0,4.0
Clinton,0008 COLEBROOK TOWNSHIP,U.S. House,12.0,TOM MARINO,REP,36,34.0,2.0
Clinton,0008 COLEBROOK TOWNSHIP,U.S. House,12.0,WRITE-INS,,0,0.0,0.0
Clinton,0008 COLEBROOK TOWNSHIP,State House,76.0,MIKE HANNA,DEM,47,42.0,5.0
Clinton,0008 COLEBROOK TOWNSHIP,State House,76.0,STEPHANIE BOROWICZ,REP,30,29.0,1.0
Clinton,0008 COLEBROOK TOWNSHIP,State House,76.0,WRITE-INS,,0,0.0,0.0
Clinton,0009 CRAWFORD TOWNSHIP,Registered Voters,,,,489,,
Clinton,0009 CRAWFORD TOWNSHIP,Ballots Cast,,,,288,276.0,12.0
Clinton,0009 CRAWFORD TOWNSHIP,STRAIGHT PARTY,,DEMOCRATIC,DEM,33,26.0,7.0
Clinton,0009 CRAWFORD TOWNSHIP,STRAIGHT PARTY,,REPUBLICAN,REP,143,139.0,4.0
Clinton,0009 CRAWFORD TOWNSHIP,STRAIGHT PARTY,,GREEN PARTY,GRN,0,0.0,0.0
Clinton,0009 CRAWFORD TOWNSHIP,STRAIGHT PARTY,,LIBERTARIAN,LIB,1,1.0,0.0
Clinton,0009 CRAWFORD TOWNSHIP,U.S. Senate,,"BOB CASEY, JR",DEM,62,55.0,7.0
Clinton,0009 CRAWFORD TOWNSHIP,U.S. Senate,,LOU BARLETTA,REP,213,208.0,5.0
Clinton,0009 CRAWFORD TOWNSHIP,U.S. Senate,,NEAL GALE,GRN,1,1.0,0.0
Clinton,0009 CRAWFORD TOWNSHIP,U.S. Senate,,"DALE R KERNS, JR",LIB,3,3.0,0.0
Clinton,0009 CRAWFORD TOWNSHIP,U.S. Senate,,WRITE-INS,,0,0.0,0.0
Clinton,0009 CRAWFORD TOWNSHIP,Governor,,TOM WOLF,DEM,68,62.0,6.0
Clinton,0009 CRAWFORD TOWNSHIP,Governor,,SCOTT R WAGNER,REP,213,208.0,5.0
Clinton,0009 CRAWFORD TOWNSHIP,Governor,,PAUL GLOVER,GRN,0,0.0,0.0
Clinton,0009 CRAWFORD TOWNSHIP,Governor,,KEN V KRAWCHUK,LIB,4,3.0,1.0
Clinton,0009 CRAWFORD TOWNSHIP,Governor,,WRITE-INS,,0,0.0,0.0
Clinton,0009 CRAWFORD TOWNSHIP,U.S. House,12.0,MARC FRIEDENBERG,DEM,61,54.0,7.0
Clinton,0009 CRAWFORD TOWNSHIP,U.S. House,12.0,TOM MARINO,REP,223,219.0,4.0
Clinton,0009 CRAWFORD TOWNSHIP,U.S. House,12.0,WRITE-INS,,1,0.0,1.0
Clinton,0009 CRAWFORD TOWNSHIP,State House,76.0,MIKE HANNA,DEM,77,70.0,7.0
Clinton,0009 CRAWFORD TOWNSHIP,State House,76.0,STEPHANIE BOROWICZ,REP,207,202.0,5.0
Clinton,0009 CRAWFORD TOWNSHIP,State House,76.0,WRITE-INS,,1,1.0,0.0
Clinton,0010 DUNNSTABLE TOWNSHIP,Registered Voters,,,,614,,
Clinton,0010 DUNNSTABLE TOWNSHIP,Ballots Cast,,,,430,414.0,16.0
Clinton,0010 DUNNSTABLE TOWNSHIP,STRAIGHT PARTY,,DEMOCRATIC,DEM,71,67.0,4.0
Clinton,0010 DUNNSTABLE TOWNSHIP,STRAIGHT PARTY,,REPUBLICAN,REP,139,135.0,4.0
Clinton,0010 DUNNSTABLE TOWNSHIP,STRAIGHT PARTY,,GREEN PARTY,GRN,0,0.0,0.0
Clinton,0010 DUNNSTABLE TOWNSHIP,STRAIGHT PARTY,,LIBERTARIAN,LIB,0,0.0,0.0
Clinton,0010 DUNNSTABLE TOWNSHIP,U.S. Senate,,"BOB CASEY, JR",DEM,164,152.0,12.0
Clinton,0010 DUNNSTABLE TOWNSHIP,U.S. Senate,,LOU BARLETTA,REP,250,246.0,4.0
Clinton,0010 DUNNSTABLE TOWNSHIP,U.S. Senate,,NEAL GALE,GRN,4,4.0,0.0
Clinton,0010 DUNNSTABLE TOWNSHIP,U.S. Senate,,"DALE R KERNS, JR",LIB,2,2.0,0.0
Clinton,0010 DUNNSTABLE TOWNSHIP,U.S. Senate,,WRITE-INS,,1,1.0,0.0
Clinton,0010 DUNNSTABLE TOWNSHIP,Governor,,TOM WOLF,DEM,179,168.0,11.0
Clinton,0010 DUNNSTABLE TOWNSHIP,Governor,,SCOTT R WAGNER,REP,244,239.0,5.0
Clinton,0010 DUNNSTABLE TOWNSHIP,Governor,,PAUL GLOVER,GRN,2,2.0,0.0
Clinton,0010 DUNNSTABLE TOWNSHIP,Governor,,KEN V KRAWCHUK,LIB,0,0.0,0.0
Clinton,0010 DUNNSTABLE TOWNSHIP,Governor,,WRITE-INS,,0,0.0,0.0
Clinton,0010 DUNNSTABLE TOWNSHIP,U.S. House,12.0,MARC FRIEDENBERG,DEM,144,135.0,9.0
Clinton,0010 DUNNSTABLE TOWNSHIP,U.S. House,12.0,TOM MARINO,REP,275,268.0,7.0
Clinton,0010 DUNNSTABLE TOWNSHIP,U.S. House,12.0,WRITE-INS,,1,1.0,0.0
Clinton,0010 DUNNSTABLE TOWNSHIP,State House,76.0,MIKE HANNA,DEM,186,175.0,11.0
Clinton,0010 DUNNSTABLE TOWNSHIP,State House,76.0,STEPHANIE BOROWICZ,REP,239,234.0,5.0
Clinton,0010 DUNNSTABLE TOWNSHIP,State House,76.0,WRITE-INS,,1,1.0,0.0
Clinton,0015 EAST KEATING TOWNSHIP,Registered Voters,,,,7,,
Clinton,0015 EAST KEATING TOWNSHIP,Ballots Cast,,,,6,4.0,2.0
Clinton,0015 EAST KEATING TOWNSHIP,STRAIGHT PARTY,,DEMOCRATIC,DEM,0,0.0,0.0
Clinton,0015 EAST KEATING TOWNSHIP,STRAIGHT PARTY,,REPUBLICAN,REP,4,4.0,0.0
Clinton,0015 EAST KEATING TOWNSHIP,STRAIGHT PARTY,,GREEN PARTY,GRN,0,0.0,0.0
Clinton,0015 EAST KEATING TOWNSHIP,STRAIGHT PARTY,,LIBERTARIAN,LIB,0,0.0,0.0
Clinton,0015 EAST KEATING TOWNSHIP,U.S. Senate,,"BOB CASEY, JR",DEM,2,0.0,2.0
Clinton,0015 EAST KEATING TOWNSHIP,U.S. Senate,,LOU BARLETTA,REP,4,4.0,0.0
Clinton,0015 EAST KEATING TOWNSHIP,U.S. Senate,,NEAL GALE,GRN,0,0.0,0.0
Clinton,0015 EAST KEATING TOWNSHIP,U.S. Senate,,"DALE R KERNS, JR",LIB,0,0.0,0.0
Clinton,0015 EAST KEATING TOWNSHIP,U.S. Senate,,WRITE-INS,,0,0.0,0.0
Clinton,0015 EAST KEATING TOWNSHIP,Governor,,TOM WOLF,DEM,2,0.0,2.0
Clinton,0015 EAST KEATING TOWNSHIP,Governor,,SCOTT R WAGNER,REP,4,4.0,0.0
Clinton,0015 EAST KEATING TOWNSHIP,Governor,,PAUL GLOVER,GRN,0,0.0,0.0
Clinton,0015 EAST KEATING TOWNSHIP,Governor,,KEN V KRAWCHUK,LIB,0,0.0,0.0
Clinton,0015 EAST KEATING TOWNSHIP,Governor,,WRITE-INS,,0,0.0,0.0
Clinton,0015 EAST KEATING TOWNSHIP,U.S. House,12.0,MARC FRIEDENBERG,DEM,0,0.0,0.0
Clinton,0015 EAST KEATING TOWNSHIP,U.S. House,12.0,TOM MARINO,REP,6,4.0,2.0
Clinton,0015 EAST KEATING TOWNSHIP,U.S. House,12.0,WRITE-INS,,0,0.0,0.0
Clinton,0015 EAST KEATING TOWNSHIP,State House,76.0,MIKE HANNA,DEM,0,0.0,0.0
Clinton,0015 EAST KEATING TOWNSHIP,State House,76.0,STEPHANIE BOROWICZ,REP,6,4.0,2.0
Clinton,0015 EAST KEATING TOWNSHIP,State House,76.0,WRITE-INS,,0,0.0,0.0
Clinton,0011 FLEMINGTON BOROUGH,Registered Voters,,,,751,,
Clinton,0011 FLEMINGTON BOROUGH,Ballots Cast,,,,481,466.0,15.0
Clinton,0011 FLEMINGTON BOROUGH,STRAIGHT PARTY,,DEMOCRATIC,DEM,105,101.0,4.0
Clinton,0011 FLEMINGTON BOROUGH,STRAIGHT PARTY,,REPUBLICAN,REP,119,114.0,5.0
Clinton,0011 FLEMINGTON BOROUGH,STRAIGHT PARTY,,GREEN PARTY,GRN,0,0.0,0.0
Clinton,0011 FLEMINGTON BOROUGH,STRAIGHT PARTY,,LIBERTARIAN,LIB,3,3.0,0.0
Clinton,0011 FLEMINGTON BOROUGH,U.S. Senate,,"BOB CASEY, JR",DEM,243,233.0,10.0
Clinton,0011 FLEMINGTON BOROUGH,U.S. Senate,,LOU BARLETTA,REP,222,217.0,5.0
Clinton,0011 FLEMINGTON BOROUGH,U.S. Senate,,NEAL GALE,GRN,3,3.0,0.0
Clinton,0011 FLEMINGTON BOROUGH,U.S. Senate,,"DALE R KERNS, JR",LIB,6,6.0,0.0
Clinton,0011 FLEMINGTON BOROUGH,U.S. Senate,,WRITE-INS,,0,0.0,0.0
Clinton,0011 FLEMINGTON BOROUGH,Governor,,TOM WOLF,DEM,250,241.0,9.0
Clinton,0011 FLEMINGTON BOROUGH,Governor,,SCOTT R WAGNER,REP,214,208.0,6.0
Clinton,0011 FLEMINGTON BOROUGH,Governor,,PAUL GLOVER,GRN,2,2.0,0.0
Clinton,0011 FLEMINGTON BOROUGH,Governor,,KEN V KRAWCHUK,LIB,10,10.0,0.0
Clinton,0011 FLEMINGTON BOROUGH,Governor,,WRITE-INS,,1,1.0,0.0
